,Recipient,AverageContribution,TotalAmount,test,totalcount,out.of.district,Billspassed
1,"Adrien, Gerly",328.5,6570,3,13,0.230769231,-1
2,"Albright-Hanna, Kate W.",115,4255,3,5,0.6,-1
3,"Arciero, Jim",282.1022511,65165.62,59,179,0.329608939,49
4,"Arena, John W.",266.6363636,2933,1,2,0.5,-1
5,"Armstrong, Joseph M.",155.7692308,2025,3,6,0.5,-1
6,"Arute, Kristen Gail",300.5102041,14725,27,41,0.658536585,-1
7,"Ashe, Brian M.",362.0353846,23532.3,29,52,0.557692308,18
8,"Ayers, Bruce J.",171.7821782,17350,47,85,0.552941176,70
9,"Balser, Ruth B.",114.4392523,12245,41,89,0.460674157,39
10,"Barber, Christine P.",225.7011494,19636,8,72,0.111111111,34
11,"Barrett, III, John",301.5151515,19900,16,45,0.355555556,13
12,"Barrows, Fred J.",455.7142857,3190,6,7,0.857142857,16
13,"Benson, Jennifer",289.3536232,59896.2,19,166,0.114457831,18
14,"Berthiaume, Jr., Donald R.",185.9183673,9110,22,37,0.594594595,15
15,"Bezanson, Alex",175.480916,22988,63,119,0.529411765,-1
16,"Biagetti, Sandra E. Slattery",290,5800,6,14,0.428571429,-1
17,"Biele, David M.",300.2567568,44438,35,100,0.35,25
18,"Blais, Natalie M.",289.673913,26650,13,46,0.282608696,27
19,"Blandford, Tom J.M.",158.3333333,1425,2,7,0.285714286,-1
20,"Bloomenthal, Benjamin Elliot",93.21428571,1305,3,8,0.375,-1
21,"Boldyga, Nick",254.1666667,6100,9,20,0.45,15
22,"Bradford, Forrest W.",250,500,1,1,1,-1
23,"Brodeur, Paul",240.1373913,33138.96,16,106,0.150943396,28
24,"Bruce, Suezanne P.",71.92307692,1870,5,22,0.227272727,-1
25,"Buckley, Erin M.",179.6341463,7365,9,30,0.3,-1
26,"Burke, William F.",130.0011538,3380.03,3,9,0.333333333,-1
27,"Cabral, Antonio F. D.",146.5420561,31360,40,147,0.272108844,39
28,"Cahill, Daniel F.",220.3505155,21374,11,74,0.148648649,38
29,"Campbell, Linda Dean",184.6774194,5725,13,25,0.52,25
30,"Capano, Pete",261.3095238,21950,37,77,0.480519481,20
31,"Carey, Daniel R.",243.1818182,8025,15,26,0.576923077,9
32,"Casey, Patrick R.",434.0914286,21270.48,18,40,0.45,-1
33,"Cassidy, Gerard J.",188.8461538,12275,8,50,0.16,15
34,"Chamberland, Ryan",688,13072,2,13,0.153846154,-1
35,"Chan, Tackey",319.0812721,90300,26,215,0.120930233,84
36,"Ciccolo, Michelle",265.3037383,56775,104,174,0.597701149,12
37,"Clemons Muhammad, Charles",86.21428571,1207,3,12,0.25,-1
38,"Cohen, Matthew S.",565.7894737,10750,10,11,0.909090909,-1
39,"Colarusso, Caroline",237.6213592,24475,64,80,0.8,-1
40,"Coller, Michael A.",68.91,68.91,1,1,1,-1
41,"Connolly, Michael L.",154.312483,45367.87,103,246,0.418699187,37
42,"Coppinger, Edward F.",235.5953846,45941.1,65,158,0.411392405,24
43,"Costello, Sean P.",242.3611111,17450,40,58,0.689655172,-1
44,"Crescenzo, Matthew P.",172.2222222,3100,6,10,0.6,-1
45,"Crocker, Jr., William L.",247.983871,61500,63,146,0.431506849,8
46,"Cronin, Claire",247.4107143,69275,68,234,0.290598291,41
47,"Cruz, John F.",286.25,5725,11,18,0.611111111,-1
48,"Cullinane, Dan",264.2056067,63145.14,18,174,0.103448276,18
49,"Cusack, Mark James",263.9320661,63871.56,35,177,0.197740113,37
50,"Cusack, Paul J.",290.8549223,56135,16,67,0.23880597,-1
51,"Cutler, Josh",214.6272131,26184.52,66,89,0.741573034,46
52,"D'Emilia, Angelo L.",311.1702128,14625,27,38,0.710526316,12
53,"Day, Michael S.",276.1075,64056.94,76,185,0.410810811,51
54,"Decker, Marjorie C.",235.5462555,53469,94,194,0.484536082,68
55,"DeCoste, David F.",234.1145833,22475,61,88,0.693181818,33
56,"DeLeo, Robert A.",312.060846,818847.66,156,2045,0.076283619,6
57,"Demers, Joseph E.",400,3600,3,7,0.428571429,-1
58,"Demong, Alison",238.1818182,15720,35,46,0.760869565,-1
59,"Devers, Marcos A.",233,9320,21,36,0.583333333,4
60,"Doktor, Christine M.",354.4,8860,5,10,0.5,-1
61,"Domb, Mindy",363.3695652,16715,30,34,0.882352941,24
62,"Donahue, Daniel M.",309.0965625,19782.18,4,45,0.088888889,23
63,"Donato, Paul J.",179.6443494,96648.66,146,427,0.341920375,23
64,"Dooley, Shawn C.",556.122449,54500,40,88,0.454545455,74
65,"Driscoll, Jr., William J.",171.3123077,15589.42,25,72,0.347222222,15
66,"DuBois, Michelle Marie",89.92307692,5845,18,51,0.352941176,18
67,"Durant, Peter J.",100,200,1,2,0.5,18
68,"Dykema, Carolyn Coyne",115.3333333,5536,24,39,0.615384615,39
69,"Eaton, Gregory A.",76.125,3045,20,33,0.606060606,-1
70,"Eckert, Christina",135.3081218,26655.7,132,175,0.754285714,-1
71,"Edwards, Jonathan S.",333.3913043,7668,2,7,0.285714286,-1
72,"Ehrlich, Lori",200.4782609,9222,20,36,0.555555556,20
73,"Elugardo, Nika Carlene",119.9879154,79432,152,527,0.288425047,14
74,"Eubanks-Archbold, Elmer",115.3636364,5076,15,37,0.405405405,-1
75,"Factor, Daniel L.",44.57142857,624,3,7,0.428571429,-1
76,"Farley-Bouvier, Tricia",153.1466667,11486,17,44,0.386363636,21
77,"Farrer, Emily",94.98387097,5889,16,39,0.41025641,-1
78,"Feeney, Mary Kate",144.7115385,7525,14,36,0.388888889,-1
79,"Ferguson, Kimberly",282.5,5650,6,13,0.461538462,20
80,"Fernandes, Dylan",175.5578947,16678,10,17,0.588235294,31
81,"Ferrante, Ann-Margaret",254.8692188,48934.89,19,82,0.231707317,35
82,"Ferro, Paul R.",363.9705882,12375,11,22,0.5,-1
83,"Finn, Michael J.",160.3070175,18275,20,90,0.222222222,16
84,"Fiola, Carole",247.4701245,59640.3,112,175,0.64,15
85,"Flannery, Donald J.",40,120,1,2,0.5,-1
86,"Frawley, Allin J.",314.5833333,3775,8,9,0.888888889,-1
87,"Frost, Paul K.",270.5882353,13800,14,41,0.341463415,27
88,"Fullen, Paul John",163.8333333,9830,16,50,0.32,-1
89,"Galvin, William C.",181.7164179,12175,13,51,0.254901961,61
90,"Garballey, Sean",168.0486111,36298.5,100,180,0.555555556,60
91,"Garlick, Denise",234.7543353,81225,138,299,0.461538462,23
92,"Garry, Colleen M.",216.1016949,12750,32,49,0.653061224,48
93,"Gatlin, Michael G.",233,5825,16,22,0.727272727,-1
94,"Gemme, Pamela",168.2142857,2355,2,10,0.2,-1
95,"Gentile, Carmine",186.5454545,10260,34,47,0.723404255,32
96,"Gifford, Susan D. Williams",237.1875,11385,22,34,0.647058824,14
97,"Golden Jr., Thomas A.",251.4226506,104340.4,29,302,0.09602649,34
98,"Goldstein-Rose, Solomon",149.375,3585,18,19,0.947368421,-1
99,"Gonsalves, Anand D.",311.1111111,2800,2,6,0.333333333,-1
100,"Gonzalez, Carlos",230.8872727,5079.52,2,11,0.181818182,34
101,"Gordon, Kenneth I.",375,21375,12,41,0.292682927,30
102,"Gouveia, Tami L.",139.0402459,33925.82,73,174,0.41954023,20
103,"Gravel, Edward A.",330.735,5291.76,10,16,0.625,-1
104,"Gregoire, Danielle W.",229.8850575,20000,12,53,0.226415094,33
105,"Gustavson, Allison M.",446.1578947,42385,39,56,0.696428571,-1
106,"Haddad, Patricia A.",257.8292195,52854.99,24,145,0.165517241,35
107,"Haggerty, Richard M.",322.2772277,32550,41,81,0.50617284,11
108,"Hall, Julie A.",309.3339241,24437.38,20,42,0.476190476,0
109,"Hamlin, Brian",178.0092857,2492.13,11,12,0.916666667,-1
110,"Harrington, Sheila C.",232.2857143,8130,23,25,0.92,15
111,"Hawkins, James K.",185.9375,2975,4,13,0.307692308,21
112,"Hay, Stephan",129.5,15540,50,93,0.537634409,26
113,"Heisey, Sabrina",82.72340426,15552,23,147,0.156462585,-1
114,"Hendricks, Christopher",125.7008547,14707,15,90,0.166666667,8
115,"Hewins, Sarah G.",200,2600,11,11,1,-1
116,"Higgins, Kevin Michael",91.875,2940,9,24,0.375,-1
117,"Higgins, Natalie Marie",95.06353535,9411.29,35,84,0.416666667,32
118,"Hill, Bradford R.",184.0260656,22451.18,86,100,0.86,35
119,"Hine, John R.",65.83333333,2370,18,20,0.9,32
120,"Hogan, Kate",226.8923016,57176.86,56,190,0.294736842,21
121,"Holmes, Russell",196.4333333,1178.6,2,2,1,21
122,"Honan, Kevin G.",321.1521053,48815.12,18,114,0.157894737,44
123,"Howell, Darrin D.",157.6569343,21599,13,103,0.126213592,-1
124,"Howitt, Steven",489.6721951,20076.56,4,32,0.125,52
125,"Hunt, Daniel J.",296.2221986,83534.66,42,216,0.194444444,43
126,"Hunt, Randy",143.9705882,14685,55,63,0.873015873,15
127,"Idowu, Oluwasegun",106.7984536,20718.9,19,132,0.143939394,-1
128,"Janson, Michael",263.5,263.5,1,1,1,-1
129,"Johnson, Erika F.",68.42105263,2600,17,27,0.62962963,-1
130,"Jones Jr., Bradley H.",299.1447843,76281.92,50,214,0.23364486,150
131,"Kafka, Louis L.",178.6516854,15900,14,69,0.202898551,47
132,"Kane, Hannah",194.0885167,81129,225,348,0.646551724,27
133,"Kearney, Patrick J.",268.9681275,67511,78,190,0.410526316,20
134,"Keefe, Mary S.",92.99157895,10601.04,29,86,0.337209302,10
135,"Kelcourse, James M.",156.5804598,54490,233,291,0.800687285,13
136,"Kenyon, Mark A.",66.66666667,600,3,7,0.428571429,-1
137,"Khan, Kay S.",225,450,1,2,0.5,58
138,"Khdeer, Yasmine",162.5,325,1,2,0.5,-1
139,"Koczera, Robert M.",237.5,3800,3,11,0.272727273,-1
140,"Kratman, Mark S.",500,13000,4,21,0.19047619,-1
141,"Krueger, Christian W.",172.8571429,1210,6,7,0.857142857,-1
142,"Lacet, Jovan",252.2727273,8325,9,25,0.36,-1
143,"Lahiff, Joseph G.",304.5134884,13094.08,14,39,0.358974359,-1
144,"LaNatra, Kathleen R.",221.9784615,11542.88,23,41,0.56097561,7
145,"Landry, Anne DJ",274.4444444,7410,5,17,0.294117647,-1
146,"Lantigua, William",206.9406061,34145.2,46,107,0.429906542,-1
147,"Lawn, John",198.3666667,22018.7,17,84,0.202380952,25
148,"Leary, James",163.1785714,18276,54,101,0.534653465,-1
149,"LeBoeuf, David Henry Argosky",124.2187773,28446.1,30,153,0.196078431,26
150,"Leczynski, Raymond G.",296.4285714,4150,4,10,0.4,-1
151,"Leibowitz, Steven M.",115.3880597,7731,11,42,0.261904762,-1
152,"Lennon, Lori",80.82942149,9780.36,15,84,0.178571429,-1
153,"Lewis, Jack Patrick",105.5433071,13404,29,106,0.273584906,28
154,"Livingstone, Jay",352.0089286,39425,67,95,0.705263158,34
155,"Lombardo, Marc",234.7222222,16900,37,47,0.787234043,19
156,"Loosemore, W. Stuart",131.3661202,24040,21,145,0.144827586,-1
157,"Losco, Ryan R.",314.7058824,10700,5,17,0.294117647,-1
158,"Lynch, Kathleen",236.3312,11816.56,25,42,0.595238095,-1
159,"Lyons, James J.",193.7808735,64335.25,100,273,0.366300366,-1
160,"Madaro, Adrian",191.8919722,165410.88,265,756,0.350529101,26
161,"Mahoney, John J.",218.6197917,83950,46,280,0.164285714,17
162,"Malaguti, Claire",133.3333333,400,1,2,0.5,-1
163,"Malia, Elizabeth A.",203.5647328,26666.98,23,95,0.242105263,32
164,"Malone, Patrick",55.79141104,9094,87,130,0.669230769,67
165,"Marcinczyk, Jr., Stanley P.",152.8571429,1070,2,2,1,-1
166,"Mariano, Ronald",358.4852838,183185.98,45,408,0.110294118,12
167,"Mark, Paul",302.2222222,13600,11,37,0.297297297,67
168,"Markey, Christopher M.",190.8333333,5725,7,25,0.28,23
169,"Mason, Joshua",255.1470588,8675,8,18,0.444444444,-1
170,"McCourt, P. Marie",109.8641667,3955.11,9,27,0.333333333,-1
171,"McDonald, John G.",264.7058824,4500,6,14,0.428571429,-1
172,"McGonagle, Joseph W.",206.6972477,45060,48,175,0.274285714,7
173,"McKenna, Joseph D.",469.5652174,10800,7,21,0.333333333,25
174,"McMurtry, Paul",219.8947368,41780,111,169,0.656804734,75
175,"Meas, Sam S.",185.625,1485,2,6,0.333333333,-1
176,"Meschino, Joan",131.7752443,40455,173,252,0.686507937,23
177,"Meuse, Patricia M. W.",116.6666667,350,1,3,0.333333333,-1
178,"Mezzina, Mark Bingham",249.0133333,18676,21,60,0.35,-1
179,"Michlewitz, Aaron",322.6929209,224271.58,192,533,0.360225141,25
180,"Minicucci, Christina A.",240.8307692,31308,23,88,0.261363636,7
181,"Miranda, Elizabeth",99.56568807,43410.64,51,294,0.173469388,14
182,"Mirra, Leonard",180.2726667,5408.18,19,26,0.730769231,20
183,"Mom, Rady",214.4444444,9650,10,37,0.27027027,4
184,"Moncreaff, Matthew O.",50,850,4,12,0.333333333,-1
185,"Moran, Frank",250,9250,6,27,0.222222222,19
186,"Moran, Michael J.",356.4652535,154705.92,45,311,0.144694534,38
187,"Muradian, Jr., David Kent",294.8648649,54550,56,125,0.448,25
188,"Muratore, Mathew J.",184.8380567,45655,102,202,0.504950495,21
189,"Murphy, James",208.045977,18100,12,72,0.166666667,27
190,"Murray, Brian W.",142.9268293,5860,35,35,1,17
191,"Nakajima, Eric T.",78.00671141,11623,81,115,0.704347826,-1
192,"Nangle, David M.",216.3854795,63184.56,53,244,0.217213115,23
193,"Naughton, Harold P.",223.3122989,58284.51,46,191,0.240837696,57
194,"Neslusan, Tanya V.",61.23333333,6429.5,17,73,0.232876712,-1
195,"Net, Hong L.",303.2890909,3336.18,2,6,0.333333333,-1
196,"Nguyen, Tram",112.7784676,100823.95,191,726,0.263085399,20
197,"Nzenwa, Christopher O.",200,800,1,1,1,-1
198,"O'Connell, Edward J.",187.7777778,6760,9,29,0.310344828,-1
199,"O'Connell, Judith L.",407.6923077,5300,7,9,0.777777778,-1
200,"O'Connell, Shaunna",127.7979059,54314.11,175,335,0.52238806,24
201,"O'Day, James J.",272.1198519,36736.18,18,101,0.178217822,42
202,"Orrall, Norman J.",156.9230769,10200,25,44,0.568181818,6
203,"Owens, Roy",1000,1000,1,1,1,-1
204,"Palmieri, Richard E.",245.625,9825,15,31,0.483870968,-1
205,"Parisella, Jerald A.",124.4402985,16675,56,101,0.554455446,14
206,"Peake, Sarah K.",277.3242105,31614.96,18,72,0.25,32
207,"Pease, Casey T.",111.3283582,7459,13,36,0.361111111,-1
208,"Peisch, Alice Hanlon",326.0638298,15325,5,38,0.131578947,32
209,"Petrolati, Thomas M.",183.2278481,14475,29,56,0.517857143,-1
210,"Phillips, Lesley R.",362.5,2900,2,5,0.4,-1
211,"Pignatelli, William",233.6554622,27805,29,52,0.557692308,27
212,"Poirier, Elizabeth A.",117.3913043,8100,56,63,0.888888889,60
213,"Powell, Nathaniel K.",205,1845,7,8,0.875,-1
214,"Prinzivalli, Giuseppina (Pina)",503.4090909,11075,7,18,0.388888889,-1
215,"Provost, Denise",269.2307692,3500,5,13,0.384615385,31
216,"Puppolo Jr., Angelo J.",183.0172414,53075,54,233,0.231759657,27
217,"Remillard, Darryn Elliot",115.8642857,8110.5,15,47,0.319148936,-1
218,"Robertson, David A.",343.75,8250,10,18,0.555555556,13
219,"Robinson, Maria D.",123.328733,27255.65,43,123,0.349593496,16
220,"Rocco-Runnion, Jennifer",304.5918367,14925,40,43,0.930232558,-1
221,"Rogers, David M.",235.1851852,12700,13,46,0.282608696,49
222,"Rogers, John H.",334.4877419,20738.24,8,51,0.156862745,26
223,"Roy, Jeffrey N.",167.8484848,27695,35,120,0.291666667,48
224,"Rushing, Byron",254.8333333,30580,25,104,0.240384615,-1
225,"Russo, Andrew J.",165.7862903,41115,61,207,0.29468599,-1
226,"Rusteika, Matthew S.",399.4318182,17575,21,31,0.677419355,-1
227,"Ryan, Daniel Joseph",204.0401294,63048.4,38,148,0.256756757,25
228,"Sabadosa, Lindsay N.",123.4721429,20743.32,96,131,0.732824427,20
229,"Sanchez, Jeffrey",299.8679234,297468.98,67,767,0.087353325,-1
230,"Santiago, Jon",149.0796386,24747.22,31,112,0.276785714,8
231,"Scaccia, Angelo M.",269.4880435,24792.9,15,78,0.192307692,42
232,"Schmaling, Summer K.",220.8052381,4636.91,13,19,0.684210526,-1
233,"Schmid III, Paul A.",236.6197183,50400,42,146,0.287671233,17
234,"Silvia, Alan",183.7515814,39506.59,57,178,0.320224719,15
235,"Smith, Stephen Stat",150,300,1,2,0.5,-1
236,"Smola, Todd M.",419.8412698,26450,18,36,0.5,42
237,"Soter, Michael J.",401.5238095,42160,35,84,0.416666667,9
238,"Speliotis, Theodore C.",229.6051799,31915.12,12,107,0.112149533,54
239,"Stanley, Thomas M.",104.1304348,9580,33,78,0.423076923,19
240,"Steinberg, Theodore L.",101.0149254,6768,8,25,0.32,-1
241,"Steinhof, David",221.0344828,6410,5,19,0.263157895,-1
242,"Stewart, Mary Ann",387.6190698,16667.62,19,35,0.542857143,-1
243,"Stone, Rebecca",279.372037,30172.18,47,63,0.746031746,-1
244,"Straus, William M.",232.6871028,24897.52,14,82,0.170731707,59
245,"Strauss, Jean A.",226.3333333,16975,21,35,0.6,-1
246,"Sullivan, Alyson M.",358.253012,29735,14,58,0.24137931,13
247,"Sweeney, William J.",163.8135593,9665,14,50,0.28,-1
248,"Szynal, Diana M.",256,12800,27,44,0.613636364,-1
249,"Tagliaferri, Kevin J.",180.5302128,8484.92,12,28,0.428571429,-1
250,"Tilden, Mark S.",350,700,1,1,1,-1
251,"Tosado, Jose F.",241.40625,15450,8,44,0.181818182,10
252,"Tougas, Stephen F.",100,100,1,1,1,-1
253,"Tribou, Christopher J.",81.7826087,3762,33,38,0.868421053,-1
254,"Truschelli, Joseph M.",357.5,7150,8,13,0.615384615,-1
255,"Tucker, Paul F.",230.7291667,22150,19,80,0.2375,38
256,"Turnbull, Ture R.",141.9662921,12635,10,58,0.172413793,-1
257,"Tyler, Chynah",281.4125,11256.5,7,31,0.225806452,40
258,"Ultrino, Steven",92.33548387,14312,88,138,0.637681159,12
259,"Uong, Rithy",250.3025,5006.05,4,13,0.307692308,-1
260,"Van Ness, Gretchen",115.9817073,19021,22,96,0.229166667,-1
261,"Vargas, Andres X.",127.9946524,23935,33,135,0.244444444,19
262,"Vega, Aaron",109.3457944,23400,72,130,0.553846154,26
263,"Velis, John Christopher",234.0909091,7725,13,25,0.52,-1
264,"Vieira, David T.",151.6666667,4550,17,20,0.85,-1
265,"Vincent, Roselee",253.8461538,9900,7,30,0.233333333,26
266,"Vitolo, Thomas J.",313.975,25118,37,62,0.596774194,14
267,"Wagner, Joseph F.",320.0768997,105305.3,49,247,0.198380567,7
268,"Walsh, Thomas P.",197.5177049,12048.58,15,51,0.294117647,16
269,"Waring, Nathaniel G.",78.35909091,861.95,5,6,0.833333333,-1
270,"Werder, Allison",235.978836,44600,117,156,0.75,-1
271,"Whelan, Timothy R.",235.645933,49250,60,139,0.431654676,28
272,"Whipps, Susannah M.",246.5517241,14300,37,43,0.860465116,17
273,"Williams, Bud L.",294.3089431,36200,18,84,0.214285714,16
274,"Wisnewski, Francia E.",243.8,6095,5,14,0.357142857,-1
275,"Wong, Donald H.",200.878087,23100.98,35,90,0.388888889,16
276,"Yarid Ferry, Lisa",302.5,6050,3,15,0.2,-1
277,"Zlotnik, Jonathan David",148.6914286,26021,113,141,0.80141844,21
